location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
crieff,7430,own vehicle,own vehicle,other,self catering,700,other,10,average,excellent,excellent,excellent,very poor,excellent,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,575,100,19,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,other,75,7,excellent,excellent,good,average,good,good,no,no,NA,other europe,NA
comrie,NA,hired vehicle,hired vehicle,other,hotel,70,6,other,excellent,good,not interested in social programme,good,good,good,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,375,150,17,excellent,excellent,not interested in social programme,NA,excellent,average,no,yes,good,scotland,clackmannanshire
comrie,NA,own vehicle,own vehicle,1,self catering,1000,1000,2,excellent,good,not interested in social programme,NA,good,poor,no,yes,good,scotland,south ayrshire
comrie,NA,own vehicle,own vehicle,other,guest house/b+b,250,150,1,excellent,excellent,good,good,excellent,good,some days,no,NA,other uk,NA
muthill,750,own vehicle,shared private vehicle,other,guest house/b+b,other,75,7,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,scotland,aberdeenshire
comrie,NA,own vehicle,own vehicle,other,self catering,2200,150,2,excellent,excellent,not interested in social programme,good,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,shared private vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other europe,NA
comrie,NA,hired vehicle,shared private vehicle,other,guest house/b+b,600,200,22,excellent,good,not interested in social programme,good,good,excellent,yes,yes,good,other uk,NA
crieff,7430,rail,own vehicle,other,self catering,450,250,1,average,good,not interested in social programme,NA,good,good,yes,yes,excellent,other uk,NA
crieff,7430,own vehicle,own vehicle,other,friends/relatives,800,50,4,good,excellent,not interested in social programme,excellent,poor,good,some days,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,average,NA,poor,average,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,570,65,13,poor,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,scotland,highland
multiple,NA,rail,own vehicle,other,self catering,1030,250,21,excellent,excellent,not interested in social programme,good,good,excellent,yes,no,NA,scotland,highland
comrie,NA,rail,own vehicle,2,comrie,288,50,5,excellent,excellent,excellent,average,good,excellent,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,100,40,3,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
comrie,NA,hired vehicle,event bus,6,comrie,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,edinburgh
killin,770,own vehicle,own vehicle,other,comrie,400,50,2,average,good,not interested in social programme,good,good,excellent,no,yes,excellent,other uk,NA
perth,47430,air,hired vehicle,other,self catering,500,30,4,good,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA
balquhidder,NA,own vehicle,own vehicle,other,friends/relatives,560,60,14,excellent,good,excellent,NA,good,average,yes,no,NA,scotland,aberdeenshire
crieff,7430,hired vehicle,hired vehicle,other,hotel,900,100,5,excellent,good,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,900,100,5,excellent,excellent,excellent,good,excellent,good,yes,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,self catering,450,250,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA
comrie,NA,hired vehicle,public transport,other,self catering,other,75,7,good,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
acharn,NA,rail,event bus,3,comrie,40,30,2,excellent,good,good,average,good,excellent,no,yes,excellent,rest of the world,NA
stirling,37610,own vehicle,own vehicle,other,hotel,126,50,2017,excellent,excellent,not interested in social programme,average,good,good,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,2000,100,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,edinburgh
comrie,NA,own vehicle,shared private vehicle,other,hotel,420,100,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA
birnam,NA,own vehicle,own vehicle,other,at home,180,75,23,excellent,excellent,excellent,average,good,good,some days,no,NA,scotland,scottish borders
garrow,NA,own vehicle,own vehicle,other,comrie,150,150,3,excellent,good,good,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,event bus,4,comrie,250,150,1,good,good,not interested in social programme,NA,average,average,some days,yes,good,other uk,NA
multiple,NA,hired and own vehicle,mix of private and public,other,camping/caravan,100,40,3,excellent,excellent,excellent,good,excellent,excellent,some days,no,NA,scotland,unknown
comrie,NA,own vehicle,own vehicle,other,comrie,152,80,12,excellent,excellent,good,NA,good,good,no,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,friends/relatives,200,90,20,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,local,own vehicle,other,military camp,90,100,16,excellent,good,excellent,NA,good,good,no,no,NA,scotland,highland
multiple,NA,rail,hired vehicle,other,multiple,215,50,20,good,good,excellent,NA,good,excellent,yes,yes,good,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,self catering,280,200,other,excellent,good,good,NA,excellent,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,250,150,1,excellent,excellent,not interested in social programme,NA,good,poor,some days,yes,good,other uk,NA
amulree,NA,own vehicle,own vehicle,other,at home,320,100,other,excellent,excellent,not interested in social programme,average,average,good,some days,no,NA,other uk,NA
other,NA,own vehicle,own vehicle,other,self catering,550,150,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,colchester
comrie,NA,local,shared private vehicle,other,at home,70,6,other,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,322,55,15,excellent,excellent,not interested in social programme,NA,excellent,average,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,60,60,6,good,average,not interested in social programme,good,very poor,excellent,yes,yes,excellent,other uk,NA
other,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,good,excellent,good,no,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,550,150,4,excellent,excellent,not interested in social programme,average,average,good,yes,no,NA,scotland,aberdeen
glen almond,NA,own vehicle,own vehicle,other,at home,250,150,1,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,1300,60,15,good,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other europe,NA
kenmore,NA,own vehicle,own vehicle,other,comrie,30,100,5,excellent,excellent,excellent,average,excellent,good,some days,no,NA,scotland,moray
aberfeldy,1950,bus,event bus,7,camping/caravan,86,314.8,14,good,good,not interested in social programme,good,excellent,good,some days,yes,good,other uk,NA
