location,population,travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority
blairgowrie,9020,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,good,good,good,good,some days,no,NA,other uk,NA
aberfeldy,1950,own vehicle,own vehicle,other,comrie,900,100,5,excellent,excellent,good,average,excellent,excellent,no,no,NA,rest of the world,NA
st fillans,NA,own vehicle,shared private vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,800,50,4,excellent,excellent,good,NA,excellent,excellent,some days,yes,excellent,other uk,NA
crieff,7430,own vehicle,event bus,6,comrie,other,75,7,excellent,excellent,good,average,good,good,some days,no,NA,scotland,moray
multiple,NA,own vehicle,shared private vehicle,other,guest house/b+b,250,150,1,average,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,at home,860,120,6,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,other europe,NA
perth,47430,own vehicle,event bus,6,comrie,90,100,16,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,east lothian
comrie,NA,own vehicle,event bus,3,comrie,8000,100,2,good,average,not interested in social programme,NA,average,average,yes,no,NA,other europe,NA
killin,770,own vehicle,event bus,4,self catering,350,60,5,excellent,good,not interested in social programme,excellent,excellent,good,no,no,NA,other uk,NA
fowlis wester,NA,own vehicle,own vehicle,other,at home,800,50,4,good,excellent,excellent,NA,excellent,excellent,yes,yes,excellent,scotland,midlothian
kenmore,NA,own vehicle,own vehicle,other,self catering,750,200,other,excellent,excellent,not interested in social programme,NA,excellent,average,some days,yes,good,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,camping/caravan,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,other uk,NA
stirling,37610,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA
callander,3160,own vehicle,own vehicle,other,guest house/b+b,1000,1000,2,excellent,excellent,excellent,excellent,excellent,excellent,no,yes,good,other uk,NA
callander,3160,own vehicle,own vehicle,other,comrie,103,80,7,excellent,excellent,good,NA,good,average,some days,yes,good,other uk,NA
other,NA,hired vehicle,hired vehicle,other,self catering,600,200,22,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA
perth,47430,public transport,event bus,6,comrie,70,6,other,excellent,excellent,good,good,average,excellent,yes,yes,excellent,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,hotel,300,100,6,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other europe,NA
stirling,37610,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,good,average,no,no,NA,other uk,NA
monzie,NA,own vehicle,own vehicle,other,self catering,1084,200,10,excellent,good,average,NA,good,good,yes,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,70,6,other,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,other uk,NA
monzie,NA,own vehicle,own vehicle,other,comrie,103,80,7,good,good,average,NA,average,average,some days,no,NA,other uk,NA
stirling,37610,own vehicle,own vehicle,other,camping/caravan,140,150,4,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA
blair atholl,NA,own vehicle,shared private vehicle,other,log cabin,100,40,3,excellent,good,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,friends/relatives,250,150,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other europe,NA
st fillans,NA,own vehicle,own vehicle,other,camping/caravan,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,good,yes,yes,good,other uk,NA
dunkeld,NA,hired vehicle,event bus,6,comrie,420,100,2,excellent,excellent,not interested in social programme,NA,good,good,some days,yes,good,scotland,highland
loch earn,NA,own vehicle,own vehicle,other,hotel,152,80,12,good,average,not interested in social programme,good,average,average,no,yes,average,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,400,50,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,scotland,scottish borders
killin,770,own vehicle,own vehicle,other,at home,700,other,10,good,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,some days,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,camping/caravan,120,140,6,good,good,good,good,average,average,no,yes,good,other uk,NA
lawers,NA,own vehicle,own vehicle,other,self catering,800,50,4,excellent,good,average,NA,good,average,yes,yes,good,other europe,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,scotland,perth and kinross
crieff,7430,hired vehicle,hired vehicle,other,self catering,1000,1000,2,good,average,not interested in social programme,good,average,average,some days,yes,good,other europe,NA
crieff,7430,own vehicle,own vehicle,other,self catering,750,200,other,good,good,not interested in social programme,good,average,excellent,yes,no,NA,other uk,NA
loch tay,NA,own vehicle,own vehicle,other,comrie,300,100,6,excellent,excellent,good,NA,good,good,some days,yes,good,other uk,NA
dunning,970,air,event bus,5,guest house/b+b,75,50,14,excellent,poor,excellent,NA,good,good,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,guest house/b+b,230,100,5,excellent,excellent,excellent,average,good,good,some days,no,NA,other uk,NA
abernyte,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,other uk,NA
comrie,NA,own vehicle,shared private vehicle,other,self catering,1000,1000,2,excellent,average,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA
stirling,37610,own vehicle,own vehicle,other,friends/relatives,1200,100,7,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,west lothian
multiple,NA,own vehicle,own vehicle,other,at home,250,150,1,good,good,not interested in social programme,NA,good,good,some days,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,at home,1100,200,other,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,850,40,4,good,good,not interested in social programme,poor,excellent,average,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,average,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,1400,100,8,good,excellent,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,other,75,7,average,average,not interested in social programme,NA,average,good,no,no,NA,scotland,edinburgh
crieff,7430,own vehicle,own vehicle,other,camping/caravan,15,20,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
pitlochry,2950,own vehicle,own vehicle,other,at home,70,6,other,excellent,excellent,good,NA,good,good,yes,no,NA,scotland,highland
crieff,7430,own vehicle,own vehicle,other,self catering,1100,200,other,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,own vehicle,shared private vehicle,other,hotel,170,200,3,excellent,good,not interested in social programme,NA,excellent,excellent,some days,yes,excellent,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,650,150,14,excellent,excellent,not interested in social programme,poor,excellent,excellent,yes,no,NA,scotland,edinburgh
crieff,7430,own vehicle,own vehicle,other,self catering,400,50,2,good,poor,good,NA,good,good,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,hotel,600,200,22,good,good,average,NA,excellent,excellent,yes,yes,good,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,self catering,850,40,4,good,average,not interested in social programme,good,good,good,yes,yes,average,scotland,argyll and bute
stirling,37610,own vehicle,own vehicle,other,hotel,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
inchture,1460,own vehicle,mix of private and public,other,log cabin,300,100,6,excellent,excellent,excellent,NA,good,excellent,yes,no,NA,rest of the world,NA
multiple,NA,hired vehicle,hired vehicle,other,comrie,other,75,7,excellent,excellent,good,NA,excellent,excellent,some days,no,NA,other uk,NA
crieff,7430,hired vehicle,hired vehicle,other,military camp,250,150,1,excellent,excellent,excellent,excellent,average,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,shared private vehicle,other,self catering,400,50,2,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,comrie,195,70,13,average,poor,not interested in social programme,good,good,excellent,yes,no,NA,scotland,fife
comrie,NA,hired vehicle,hired vehicle,other,self catering,450,250,1,good,good,excellent,good,good,excellent,yes,yes,good,other uk,NA
crieff,7430,hired vehicle,event bus,4,comrie,380,110,10,good,excellent,good,NA,good,good,some days,yes,average,other uk,NA
crieff,7430,own vehicle,own vehicle,other,hotel,220,120,16,excellent,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA
bridge of earn,2990,own vehicle,own vehicle,other,multiple,other,75,7,good,excellent,not interested in social programme,good,average,good,no,yes,good,scotland,glasgow
perth,47430,air,event bus,4,guest house/b+b,225,other,10,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other europe,NA
crieff,7430,public transport,event bus,7,guest house/b+b,other,75,7,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,scotland,highland
other,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,rest of the world,NA
perth,47430,own vehicle,own vehicle,other,at home,210,80,5,excellent,excellent,excellent,good,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,rail,mix of private and public,other,camping/caravan,500,30,4,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA
auchterarder,5120,own vehicle,own vehicle,other,self catering,850,40,4,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other uk,NA
amulree,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,excellent,excellent,excellent,good,some days,yes,excellent,other uk,NA
crieff,7430,own vehicle,shared private vehicle,other,comrie,360,150,3,good,good,not interested in social programme,NA,excellent,good,no,no,NA,scotland,edinburgh
multiple,NA,own vehicle,own vehicle,other,self catering,750,200,other,excellent,good,good,NA,average,poor,some days,no,NA,scotland,aberdeenshire
barry buddon,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,scotland,scottish borders
perth,47430,own vehicle,shared private vehicle,other,camping/caravan,2000,100,14,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,700,other,10,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,friends/relatives,200,90,20,good,excellent,good,good,good,excellent,some days,no,NA,scotland,edinburgh
polmont,5320,own vehicle,own vehicle,other,self catering,450,250,1,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,rest of the world,NA
killin,770,hired vehicle,hired vehicle,other,self catering,300,100,6,good,good,not interested in social programme,average,good,good,no,no,NA,other uk,south norfolk
st fillans,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA
multiple,NA,own vehicle,shared private vehicle,other,multiple,315,100,6,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other europe,NA
stanley,1410,own vehicle,own vehicle,other,guest house/b+b,140,150,4,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,friends/relatives,30,100,5,excellent,good,excellent,excellent,excellent,excellent,some days,yes,good,scotland,aberdeen
dollar,2800,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,good,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,air,hired vehicle,other,self catering,1200,100,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,mix of private and public,other,self catering,500,30,4,good,good,excellent,excellent,average,good,some days,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,comrie,250,150,1,good,good,average,NA,excellent,excellent,no,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,friends/relatives,other,75,7,good,excellent,not interested in social programme,good,good,poor,no,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,150,150,3,excellent,good,excellent,good,excellent,excellent,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,70,6,other,good,average,not interested in social programme,NA,average,good,yes,no,NA,scotland,perth and kinross
crieff,7430,own vehicle,own vehicle,other,self catering,486,100,28,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA
methven,1300,rail,shared private vehicle,other,comrie,other,75,7,good,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA
crieff,7430,local,shared private vehicle,other,at home,250,150,1,excellent,good,not interested in social programme,good,excellent,excellent,some days,yes,good,other uk,NA
crieff,7430,own vehicle,own vehicle,other,hotel,90,100,16,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA
glen almond,NA,own vehicle,own vehicle,other,guest house/b+b,80,70,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,scotland,perth and kinross
comrie,NA,own vehicle,own vehicle,other,comrie,152,80,12,good,average,good,NA,good,excellent,some days,no,NA,scotland,unknown
luncarty,1650,own vehicle,own vehicle,other,self catering,400,50,2,good,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,1100,200,other,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,camping/caravan,other,75,7,good,average,not interested in social programme,average,average,poor,some days,no,NA,scotland,aberdeenshire
perth,47430,air,hired vehicle,other,self catering,800,50,4,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other europe,NA
england,NA,own vehicle,own vehicle,other,self catering,770,150,12,good,good,good,good,good,poor,no,no,NA,scotland,edinburgh
dunkeld,NA,own vehicle,own vehicle,other,self catering,1800,60,14,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA
forgandenny,600,own vehicle,own vehicle,other,at home,other,75,7,excellent,good,not interested in social programme,excellent,excellent,good,yes,no,NA,scotland,edinburgh
perth,47430,own vehicle,own vehicle,other,camping/caravan,other,75,7,good,good,not interested in social programme,average,good,excellent,yes,no,NA,other europe,NA
auchterarder,5120,hired vehicle,hired vehicle,other,guest house/b+b,556,40,4,excellent,excellent,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA
bridge of earn,2990,hired vehicle,hired vehicle,other,comrie,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA
other,NA,own vehicle,event bus,5,camping/caravan,2000,100,14,excellent,good,not interested in social programme,very poor,excellent,good,no,no,NA,other uk,NA
forgandenny,600,own vehicle,event bus,3,comrie,other,75,7,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
lochlane,NA,hired vehicle,hired vehicle,other,self catering,700,other,10,good,good,not interested in social programme,average,good,good,some days,no,NA,scotland,highland
crieff,7430,own vehicle,shared private vehicle,other,self catering,1500,1000,11,excellent,excellent,excellent,NA,good,good,some days,no,NA,other uk,NA
multiple,NA,hired vehicle,hired vehicle,other,hotel,80,70,2,excellent,good,not interested in social programme,poor,excellent,excellent,yes,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,at home,1446,80,1,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,comrie,1158,300,6,excellent,good,not interested in social programme,NA,good,excellent,yes,no,NA,other europe,NA
lawers,NA,local,own vehicle,other,at home,550,150,4,excellent,good,good,good,excellent,excellent,yes,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,160,80,4,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA
perth,47430,air,own vehicle,other,hotel,1200,100,7,excellent,excellent,good,average,good,good,yes,no,NA,other europe,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1000,1000,2,good,average,not interested in social programme,NA,average,excellent,yes,yes,excellent,other uk,NA
dunira,NA,own vehicle,own vehicle,other,multiple,150,150,3,excellent,good,not interested in social programme,NA,good,average,no,yes,good,other europe,NA
multiple,NA,own vehicle,own vehicle,other,at home,900,100,5,excellent,excellent,not interested in social programme,good,excellent,good,no,no,NA,scotland,perth and kinross
loch tay,NA,own vehicle,own vehicle,other,self catering,500,30,4,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
lawers,NA,own vehicle,own vehicle,other,camping/caravan,560,60,14,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other europe,NA
crieff,7430,own vehicle,own vehicle,other,self catering,350,60,5,excellent,excellent,excellent,good,excellent,excellent,yes,yes,good,scotland,highland
glasgow,612040,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,good,good,excellent,excellent,yes,no,NA,other europe,NA
stirling,37610,own vehicle,own vehicle,other,self catering,400,50,2,excellent,good,excellent,NA,good,good,some days,yes,excellent,other uk,somerset
comrie,NA,air,hired vehicle,other,comrie,200,90,20,excellent,good,good,good,good,excellent,yes,yes,excellent,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,comrie,200,90,20,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA
crieff,7430,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,excellent,NA,excellent,average,no,no,NA,other europe,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,70,6,other,good,excellent,not interested in social programme,good,average,poor,some days,yes,good,other europe,NA
crieff,7430,air,shared private vehicle,other,self catering,1500,1000,11,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,east lothian
gargunnock,740,hired vehicle,hired vehicle,other,self catering,850,40,4,excellent,good,not interested in social programme,good,good,average,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,400,50,2,good,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,1200,100,7,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,600,200,22,good,good,not interested in social programme,NA,good,average,no,no,NA,other uk,NA
glenfarg,670,own vehicle,own vehicle,other,at home,other,75,7,good,poor,good,excellent,very poor,excellent,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,770,150,12,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,other europe,NA
stanley,1410,own vehicle,own vehicle,other,self catering,1e+21,1e+21,1e+21,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,scotland,east dunbartonshire
fearnan,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA
england,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,good,good,NA,good,good,yes,yes,average,other uk,NA
aberfeldy,1950,hired vehicle,event bus,4,comrie,1000,1000,2,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other europe,NA
aberfeldy,1950,own vehicle,event bus,5,comrie,150,150,3,excellent,excellent,average,NA,good,excellent,yes,no,NA,other uk,NA
comrie,NA,air,event bus,4,guest house/b+b,70,6,other,good,excellent,excellent,NA,poor,average,some days,yes,excellent,scotland,south ayrshire
rumbling bridge,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,excellent,good,excellent,excellent,no,no,NA,scotland,edinburgh
multiple,NA,own vehicle,own vehicle,other,camping/caravan,144,60,6,excellent,good,not interested in social programme,NA,average,good,some days,no,NA,other uk,NA
aberfeldy,1950,own vehicle,own vehicle,other,self catering,1300,60,15,good,average,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA
lochearnhead,NA,own vehicle,event bus,6,comrie,600,200,22,excellent,good,good,NA,excellent,good,yes,no,NA,scotland,aberdeen
comrie,NA,own vehicle,own vehicle,other,comrie,280,200,other,average,average,good,excellent,excellent,excellent,some days,no,NA,rest of the world,NA
glen artney,NA,hired vehicle,hired vehicle,other,self catering,1000,1000,2,average,good,not interested in social programme,good,average,average,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,scotland,unknown
comrie,NA,own vehicle,own vehicle,other,hotel,560,60,14,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,self catering,560,60,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,80,70,2,good,average,not interested in social programme,NA,average,average,some days,yes,average,scotland,unknown
menstrie,2870,own vehicle,own vehicle,other,self catering,650,150,14,excellent,good,not interested in social programme,average,good,good,some days,no,NA,other europe,NA
perth,47430,own vehicle,own vehicle,other,friends/relatives,200,90,20,excellent,good,excellent,excellent,excellent,excellent,yes,no,NA,scotland,aberdeenshire
crieff,7430,air,own vehicle,other,camping/caravan,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,yes,good,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,595,150,8,good,good,not interested in social programme,NA,average,average,some days,yes,good,scotland,dumfries and galloway
comrie,NA,own vehicle,own vehicle,other,comrie,70,6,other,excellent,excellent,not interested in social programme,NA,average,good,no,no,NA,other europe,NA
coupar angus,2350,bus,own vehicle,other,camping/caravan,150,150,3,good,good,not interested in social programme,good,excellent,good,some days,no,NA,other uk,NA
methven,1300,hired vehicle,hired vehicle,other,self catering,200,90,20,excellent,good,excellent,excellent,good,good,no,no,NA,scotland,aberdeenshire
crieff,7430,hired vehicle,hired vehicle,other,self catering,600,200,22,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
multiple,NA,own vehicle,own vehicle,other,camping/caravan,other,75,7,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,hotel,300,100,6,good,good,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,aberdeen
dunkeld,NA,own vehicle,own vehicle,other,comrie,345,45,11,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,excellent,other uk,NA
glasgow,612040,own vehicle,own vehicle,other,hotel,200,90,20,good,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,edinburgh
multiple,NA,own vehicle,own vehicle,other,self catering,1400,100,8,excellent,excellent,good,average,excellent,excellent,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,2,self catering,1000,1000,2,excellent,good,very poor,NA,good,excellent,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,other uk,NA
comrie,NA,hired vehicle,shared private vehicle,other,self catering,700,other,10,excellent,excellent,good,good,excellent,excellent,yes,yes,excellent,other uk,NA
multiple,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,excellent,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
scone,5050,own vehicle,own vehicle,other,self catering,700,other,10,good,excellent,not interested in social programme,excellent,very poor,excellent,yes,yes,excellent,other uk,NA
perth,47430,rail,own vehicle,other,at home,250,150,1,good,good,not interested in social programme,good,good,good,some days,no,NA,scotland,edinburgh
st fillans,NA,air,hired vehicle,other,self catering,800,50,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA
dunkeld,NA,own vehicle,own vehicle,other,comrie,other,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,east lothian
brig o'turk,NA,own vehicle,own vehicle,other,self catering,950,130,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,scotland,stirling
comrie,NA,own vehicle,shared private vehicle,other,self catering,1000,1000,2,excellent,good,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA
st fillans,NA,own vehicle,own vehicle,other,hotel,10,60,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,aberdeenshire
multiple,NA,own vehicle,own vehicle,other,self catering,280,200,other,good,good,good,NA,good,good,some days,yes,good,other europe,NA
multiple,NA,own vehicle,own vehicle,other,self catering,700,other,10,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
lochearnhead,NA,own vehicle,own vehicle,other,self catering,1600,200,8,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,camping/caravan,200,90,20,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA
crieff,7430,own vehicle,own vehicle,other,self catering,2400,180,16,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,self catering,500,30,4,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA
stanley,1410,rail,event bus,6,comrie,150,150,3,excellent,excellent,good,NA,good,good,some days,yes,good,scotland,scottish borders
crieff,7430,own vehicle,own vehicle,other,guest house/b+b,300,100,6,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA
comrie,NA,hired vehicle,shared private vehicle,1,comrie,90,100,16,excellent,excellent,good,NA,excellent,excellent,some days,yes,good,other uk,NA
other,NA,ferry and vehicle,own vehicle,other,self catering,900,100,5,excellent,excellent,excellent,good,good,good,yes,no,NA,other uk,NA
forgandenny,600,air,hired vehicle,other,hotel,1100,200,other,excellent,good,not interested in social programme,NA,excellent,excellent,no,no,NA,scotland,south ayrshire
dunkeld,NA,own vehicle,event bus,6,comrie,420,100,2,excellent,excellent,not interested in social programme,good,excellent,excellent,some days,no,NA,scotland,moray
juniper green,NA,own vehicle,own vehicle,other,self catering,750,200,other,good,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA
perth,47430,own vehicle,own vehicle,other,self catering,600,200,22,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
killin,770,own vehicle,own vehicle,other,self catering,850,40,4,good,average,good,NA,good,average,yes,yes,average,other uk,NA
dunblane,9410,own vehicle,own vehicle,other,self catering,280,200,other,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA
comrie,NA,hired vehicle,hired vehicle,other,self catering,600,200,22,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA
comrie,NA,own vehicle,own vehicle,other,hotel,100,40,3,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA
crieff,7430,own vehicle,shared private vehicle,other,camping/caravan,450,250,1,excellent,excellent,good,NA,excellent,excellent,some days,no,NA,scotland,aberdeenshire
