"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Kinross,S19001635," 5,120 ", 907 ," 3,024 "," 1,189 ",,,
Kintore,S19001636," 4,790 "," 1,148 "," 2,991 ", 651 ,,,
Kippen,S19001637," 1,080 ", 182 , 668 , 230 ,,,
Kirkcaldy and Dysart,S19001638," 50,010 "," 9,202 "," 30,815 "," 9,993 ",,,
Kirkconnel,S19001639," 1,970 ", 333 ," 1,225 ", 412 ,,,
Kirkcudbright,S19001640," 3,420 ", 477 ," 1,847 "," 1,096 ",,,
Kirkfieldbank,S19001641, 990 , 125 , 600 , 265 ,,,
Kirkhill,S19001642, 730 , 111 , 466 , 153 ,,,
Kirkintilloch,S19001643," 21,380 "," 3,981 "," 13,456 "," 3,943 ",,,
Kirkliston,S19001644," 4,740 "," 1,077 "," 2,896 ", 767 ,,,
Kirkmuirhill and Blackwood,S19001645," 4,440 ", 854 ," 2,826 ", 760 ,,,
Kirknewton,S19001646," 1,980 ", 431 ," 1,342 ", 207 ,,,
Kirkwall,S19001647," 7,420 "," 1,186 "," 4,693 "," 1,541 ",,,
Kirriemuir,S19001648," 6,120 "," 1,012 "," 3,623 "," 1,485 ",,,
Kyle of Lochalsh,S19001649, 650 , 114 , 417 , 119 ,,,
Ladybank,S19001650," 1,470 ", 220 , 878 , 372 ,,,
Lamlash,S19001651," 1,120 ", 156 , 632 , 332 ,,,
Lanark,S19001652," 9,050 "," 1,381 "," 5,548 "," 2,121 ",,,
Langbank,S19001653, 890 , 128 , 554 , 208 ,,,
Langholm,S19001654," 2,160 ", 287 ," 1,243 ", 630 ,,,
Larbert,S19001655," 11,050 "," 2,439 "," 7,046 "," 1,565 ",,,
Largs,S19001656," 11,260 "," 1,539 "," 6,077 "," 3,644 ",,,
Larkhall,S19001657," 14,740 "," 2,429 "," 9,229 "," 3,082 ",,,
Lauder,S19001658," 1,790 ", 422 ," 1,051 ", 317 ,,,
Laurencekirk,S19001659," 3,040 ", 606 ," 1,834 ", 600 ,,,
Laurieston,S19001660," 2,660 ", 409 ," 1,652 ", 599 ,,,
Law,S19001661," 3,220 ", 595 ," 2,100 ", 525 ,,,
Lennoxtown,S19001662," 4,140 ", 739 ," 2,698 ", 703 ,,,
Lenzie,S19001663," 8,070 "," 1,424 "," 4,781 "," 1,865 ",,,
Lerwick,S19001664," 6,880 "," 1,160 "," 4,383 "," 1,337 ",,,
Leslie,S19001665," 3,060 ", 482 ," 1,898 ", 680 ,,,
Lesmahagow,S19001666," 4,350 ", 797 ," 2,660 ", 893 ,,,
Letham,S19001667," 1,640 ", 272 , 937 , 431 ,,,
Leuchars,S19001668," 2,340 ", 677 ," 1,429 ", 234 ,,,
Leven,S19001669," 9,040 "," 1,496 "," 5,433 "," 2,111 ",,,
Lhanbryde,S19001670," 1,920 ", 318 ," 1,215 ", 387 ,,,
Liff,S19001671, 900 , 170 , 556 , 174 ,,,
Limekilns and Charlestown,S19001672," 1,410 ", 224 , 803 , 383 ,,,
Linlithgow,S19001673," 13,260 "," 2,457 "," 8,152 "," 2,651 ",,,
Linwood,S19001674," 8,600 "," 1,647 "," 5,200 "," 1,753 ",,,
Livingston,S19001675," 57,030 "," 11,726 "," 37,393 "," 7,911 ",,,
Loanhead,S19001676," 6,440 "," 1,026 "," 3,910 "," 1,504 ",,,
Loans,S19001677, 690 , 107 , 412 , 171 ,,,
Locharbriggs,S19001678," 5,830 ", 959 ," 3,606 "," 1,265 ",,,
Lochgelly,S19001679," 7,320 "," 1,348 "," 4,687 "," 1,285 ",,,
Lochgilphead,S19001680," 2,300 ", 395 ," 1,414 ", 491 ,,,
Lochmaben,S19001681," 2,200 ", 351 ," 1,307 ", 542 ,,,
Lochwinnoch,S19001682," 2,880 ", 498 ," 1,795 ", 587 ,,,
Lockerbie,S19001683," 4,240 ", 654 ," 2,434 "," 1,152 ",,,
Logan,S19001684," 1,240 ", 264 , 743 , 233 ,,,
Longforgan,S19001685," 1,180 ", 158 , 772 , 250 ,,,
Longniddry,S19001686," 2,420 ", 322 ," 1,328 ", 770 ,,,
Longridge,S19001687, 900 , 163 , 594 , 143 ,,,
Longside,S19001688," 1,010 ", 202 , 649 , 159 ,,,
Lossiemouth,S19001689," 7,870 "," 1,289 "," 5,262 "," 1,319 ",,,
Lower Largo and Lundin Links,S19001690," 1,920 ", 218 ," 1,079 ", 623 ,,,
Lumphanan,S19001691, 550 , 98 , 341 , 111 ,,,
Luncarty,S19001692," 1,650 ", 266 ," 1,029 ", 355 ,,,
Macduff,S19001693," 3,950 ", 669 ," 2,491 ", 790 ,,,
Macmerry,S19001694," 1,410 ", 289 , 858 , 263 ,,,
Maddiston,S19001695," 3,720 ", 865 ," 2,347 ", 508 ,,,
Mallaig,S19001696, 730 , 107 , 470 , 153 ,,,
Markinch,S19001697," 2,420 ", 418 ," 1,466 ", 536 ,,,
Maryburgh,S19001698," 1,150 ", 205 , 723 , 222 ,,,
Marywell,S19001699, 600 , 138 , 406 , 56 ,,,
Mauchline,S19001700," 4,010 ", 621 ," 2,495 ", 894 ,,,
Maud,S19001701, 910 , 165 , 582 , 163 ,,,
Maybole,S19001702," 4,610 ", 827 ," 2,863 ", 920 ,,,
Mayfield,S19001703," 13,570 "," 2,770 "," 8,622 "," 2,178 ",,,
Melrose,S19001704," 2,510 ", 467 ," 1,435 ", 608 ,,,
Menstrie,S19001705," 2,870 ", 574 ," 1,689 ", 607 ,,,
Methil,S19001706," 10,800 "," 2,112 "," 6,601 "," 2,087 ",,,
Methlick,S19001707, 560 , 102 , 358 , 100 ,,,
Methven,S19001708," 1,300 ", 236 , 781 , 283 ,,,
Mid Calder,S19001709," 3,340 ", 505 ," 2,339 ", 496 ,,,
Millport,S19001710," 1,220 ", 106 , 644 , 470 ,,,
Milltimber,S19001711," 2,780 ", 490 ," 1,689 ", 601 ,,,
Milnathort,S19001712," 1,950 ", 364 ," 1,133 ", 453 ,,,
Milngavie,S19001713," 12,940 "," 2,241 "," 7,625 "," 3,074 ",,,
Milton,S19001714, 560 , 84 , 357 , 119 ,,,
Milton and Kildary,S19001715, 650 , 120 , 394 , 136 ,,,
Milton of Campsie,S19001716," 3,840 ", 575 ," 2,399 ", 866 ,,,
Milton of Leys,S19001717," 2,860 ", 782 ," 1,847 ", 231 ,,,
Mintlaw,S19001718," 2,820 ", 505 ," 1,609 ", 706 ,,,
Moffat,S19001719," 2,510 ", 389 ," 1,347 ", 774 ,,,
Moniaive,S19001720, 510 , 85 , 282 , 143 ,,,
Monifieth,S19001721," 8,110 "," 1,194 "," 4,392 "," 2,524 ",,,
Monkton,S19001722," 1,080 ", 217 , 676 , 187 ,,,
Montrose,S19001723," 12,100 "," 1,980 "," 7,558 "," 2,562 ",,,
Moodiesburn,S19001724," 6,890 "," 1,335 "," 4,486 "," 1,069 ",,,
Morningside,S19001725," 1,090 ", 274 , 670 , 146 ,,,
Mossblown,S19001726," 2,100 ", 393 ," 1,268 ", 439 ,,,
Mosstodloch,S19001727, 990 , 163 , 568 , 259 ,,,
Motherwell,S19001728," 32,590 "," 5,988 "," 20,873 "," 5,729 ",,,
Muir of Ord,S19001729," 2,690 ", 522 ," 1,632 ", 536 ,,,
Muirhead,S19001730," 1,380 ", 292 , 909 , 179 ,,,
Muirkirk,S19001731," 1,420 ", 224 , 838 , 358 ,,,
Murthly,S19001732, 580 , 100 , 326 , 154 ,,,
Musselburgh,S19001733," 20,840 "," 3,326 "," 13,801 "," 3,713 ",,,
Muthill,S19001734, 750 , 137 , 426 , 187 ,,,
Nairn,S19001735," 9,960 "," 1,632 "," 5,867 "," 2,461 ",,,
Neilston,S19001736," 5,170 ", 906 ," 3,378 ", 886 ,,,
Netherburn,S19001737, 820 , 185 , 541 , 94 ,,,
Netherlee,S19001738," 4,600 ", 989 ," 2,496 "," 1,115 ",,,
Nethy Bridge,S19001739, 660 , 92 , 380 , 188 ,,,
New Cumnock,S19001740," 2,710 ", 392 ," 1,647 ", 671 ,,,
New Deer,S19001741, 620 , 96 , 369 , 155 ,,,
New Pitsligo,S19001742," 1,170 ", 250 , 706 , 214 ,,,
New Stevenston,S19001743," 5,660 "," 1,291 "," 3,766 ", 603 ,,,
Newarthill,S19001744," 6,360 "," 1,213 "," 4,149 ", 998 ,,,
Newbattle,S19001745, 600 , 112 , 391 , 97 ,,,
Newbridge and Ratho Station,S19001746," 1,040 ", 211 , 676 , 153 ,,,
Newburgh (Aberdeenshire),S19001747," 1,510 ", 275 , 970 , 265 ,,,
Newburgh (Fife),S19001748," 2,120 ", 334 ," 1,295 ", 491 ,,,
Newcastleton,S19001749, 760 , 107 , 415 , 238 ,,,
Newmachar,S19001750," 2,500 ", 503 ," 1,629 ", 368 ,,,
Newmains,S19001751," 5,480 "," 1,064 "," 3,439 ", 977 ,,,
"Newmarket, Lacasdal and Bruach Mairi (Newmarket, Laxdale and Marybank)",S19001752," 1,630 ", 325 ," 1,050 ", 255 ,,,
Newmilns,S19001753," 2,800 ", 455 ," 1,729 ", 616 ,,,
Newport-on-Tay and Wormit,S19001754," 4,310 ", 739 ," 2,475 "," 1,096 ",,,
Newton Mearns,S19001755," 26,600 "," 5,626 "," 15,829 "," 5,145 ",,,
Newton Stewart,S19001756," 4,080 ", 693 ," 2,344 "," 1,043 ",,,
Newtonhill,S19001757," 3,140 ", 610 ," 2,001 ", 529 ,,,
Newtonmore,S19001758," 1,100 ", 157 , 640 , 303 ,,,
Newtown St Boswells,S19001759," 1,330 ", 203 , 853 , 274 ,,,
Newtyle,S19001760, 700 , 96 , 446 , 158 ,,,
North Berwick,S19001761," 6,930 "," 1,156 "," 3,758 "," 2,016 ",,,
North Kessock,S19001762," 1,120 ", 162 , 642 , 316 ,,,
North Queensferry,S19001763," 1,060 ", 163 , 653 , 244 ,,,
Oakley,S19001764," 2,260 ", 514 ," 1,370 ", 376 ,,,
Oban,S19001765," 8,490 "," 1,426 "," 5,505 "," 1,559 ",,,
Ochiltree,S19001766," 1,060 ", 187 , 697 , 176 ,,,
Old Kilpatrick,S19001767," 4,680 ", 737 ," 3,098 ", 845 ,,,
Oldmeldrum,S19001768," 3,140 ", 643 ," 1,982 ", 515 ,,,
Ormiston,S19001769," 1,970 ", 320 ," 1,231 ", 419 ,,,
Overtown,S19001770," 2,010 ", 268 ," 1,301 ", 441 ,,,
Paisley,S19001771," 77,220 "," 12,780 "," 51,078 "," 13,362 ",,,
Pathhead,S19001772, 960 , 182 , 593 , 185 ,,,
Patna,S19001773," 2,110 ", 382 ," 1,237 ", 491 ,,,
Peebles,S19001774," 8,940 "," 1,615 "," 5,179 "," 2,146 ",,,
Pencaitland,S19001775," 1,480 ", 272 , 919 , 289 ,,,
Penicuik,S19001776," 16,120 "," 2,787 "," 9,952 "," 3,381 ",,,
Perth,S19001777," 47,430 "," 7,951 "," 30,459 "," 9,020 ",,,
Peterculter,S19001778," 4,570 ", 742 ," 2,904 ", 924 ,,,
Peterhead,S19001779," 19,270 "," 3,370 "," 12,363 "," 3,537 ",,,
Pitlochry,S19001780," 2,950 ", 314 ," 1,775 ", 861 ,,,
Pitmedden,S19001781," 1,440 ", 323 , 908 , 209 ,,,
Pittenweem,S19001782," 1,440 ", 190 , 849 , 401 ,,,
Plains,S19001783," 2,770 ", 571 ," 1,794 ", 405 ,,,
Plean,S19001784," 1,980 ", 454 ," 1,208 ", 318 ,,,
Polbeth,S19001785," 2,310 ", 483 ," 1,496 ", 331 ,,,
Polmont,S19001786," 5,320 ", 716 ," 3,330 "," 1,274 ",,,
Port Bannatyne,S19001787," 1,140 ", 139 , 595 , 406 ,,,
Port Ellen,S19001788, 810 , 126 , 490 , 194 ,,,
Port Glasgow,S19001789," 14,620 "," 2,528 "," 9,133 "," 2,959 ",,,
Portgordon,S19001790, 820 , 122 , 494 , 204 ,,,
Portknockie,S19001791," 1,270 ", 203 , 764 , 303 ,,,
Portlethen,S19001792," 9,090 "," 1,845 "," 6,110 "," 1,135 ",,,
Portpatrick,S19001793, 640 , 70 , 368 , 202 ,,,
Portree,S19001794," 2,480 ", 437 ," 1,545 ", 498 ,,,
Portsoy,S19001795," 1,740 ", 264 , 975 , 501 ,,,
Potterton,S19001796, 880 , 140 , 566 , 174 ,,,
Prestonpans,S19001797," 10,410 "," 2,107 "," 6,662 "," 1,641 ",,,
Prestwick,S19001798," 14,720 "," 2,192 "," 8,847 "," 3,681 ",,,
Quarrier's Village,S19001799, 730 , 96 , 452 , 182 ,,,
Quarter,S19001800, 740 , 106 , 457 , 177 ,,,
Queenzieburn,S19001801, 520 , 104 , 337 , 79 ,,,
Ratho,S19001802," 1,950 ", 385 ," 1,231 ", 334 ,,,
Redding,S19001803," 3,540 ", 773 ," 2,352 ", 415 ,,,
Reddingmuirhead,S19001804," 2,050 ", 509 ," 1,373 ", 168 ,,,
Renfrew,S19001805," 22,570 "," 3,728 "," 14,692 "," 4,150 ",,,
Renton,S19001806," 2,340 ", 472 ," 1,497 ", 371 ,,,
Rhu,S19001807," 1,970 ", 316 ," 1,125 ", 529 ,,,
Rigside,S19001808, 670 , 126 , 405 , 139 ,,,
Rosehearty,S19001809," 1,320 ", 258 , 817 , 245 ,,,
Rosemarkie,S19001810, 650 , 119 , 381 , 150 ,,,
Rosewell,S19001811," 1,680 ", 323 ," 1,079 ", 278 ,,,
Roslin,S19001812," 1,670 ", 287 , 986 , 397 ,,,
Rosneath,S19001813," 1,240 ", 217 , 757 , 266 ,,,
Rosyth,S19001814," 13,780 "," 2,500 "," 9,096 "," 2,184 ",,,
Rothes,S19001815," 1,200 ", 201 , 737 , 262 ,,,
Rothesay,S19001816," 4,390 ", 637 ," 2,489 "," 1,264 ",,,
Rothienorman,S19001817," 1,100 ", 241 , 725 , 134 ,,,
Rumford,S19001818, 830 , 174 , 534 , 122 ,,,
Rutherglen,S19001819," 31,190 "," 4,848 "," 19,858 "," 6,484 ",,,
Saline,S19001820," 1,080 ", 159 , 635 , 286 ,,,
Salsburgh,S19001821," 1,350 ", 239 , 887 , 224 ,,,
Saltcoats,S19001822," 12,640 "," 2,366 "," 7,796 "," 2,478 ",,,
Sandbank,S19001823," 1,310 ", 194 , 739 , 377 ,,,
Sandhaven,S19001824, 840 , 155 , 526 , 159 ,,,
Sanndabhaig (Sandwick),S19001825, 740 , 150 , 448 , 142 ,,,
Sanquhar,S19001826," 1,980 ", 327 ," 1,151 ", 502 ,,,
Sauchie,S19001827," 6,310 "," 1,126 "," 3,901 "," 1,283 ",,,
Scalloway,S19001828," 1,240 ", 240 , 780 , 220 ,,,
Scone,S19001829," 5,050 ", 803 ," 2,758 "," 1,489 ",,,
Seafield,S19001830," 1,330 ", 212 , 854 , 264 ,,,
Selkirk,S19001831," 5,580 ", 861 ," 3,261 "," 1,458 ",,,
Shieldhill,S19001832," 2,420 ", 398 ," 1,633 ", 389 ,,,
Shotts,S19001833," 8,570 "," 1,429 "," 5,649 "," 1,492 ",,,
Skelmorlie,S19001834," 2,060 ", 259 ," 1,143 ", 658 ,,,
Slamannan,S19001835," 1,310 ", 291 , 861 , 158 ,,,
Smithton,S19001836," 2,270 ", 440 ," 1,531 ", 299 ,,,
South Queensferry,S19001837," 9,350 "," 1,881 "," 5,969 "," 1,500 ",,,
Spean Bridge,S19001838, 570 , 88 , 347 , 135 ,,,
Springfield,S19001839, 960 , 173 , 622 , 165 ,,,
Springside,S19001840," 1,250 ", 202 , 787 , 261 ,,,
St Andrews,S19001841," 17,580 "," 1,309 "," 13,417 "," 2,854 ",,,
St Boswells,S19001842," 1,470 ", 268 , 771 , 431 ,,,
St Combs,S19001843, 660 , 98 , 407 , 155 ,,,
St Cyrus,S19001844," 1,160 ", 257 , 665 , 238 ,,,
St Fergus,S19001845, 780 , 165 , 510 , 105 ,,,
St Madoes and Glencarse,S19001846," 1,170 ", 225 , 725 , 220 ,,,
St Monans,S19001847," 1,190 ", 178 , 728 , 284 ,,,
Stamperland,S19001848," 3,640 ", 726 ," 2,275 ", 639 ,,,
Stanley,S19001849," 1,410 ", 225 , 872 , 313 ,,,
Stenhousemuir,S19001850," 9,740 "," 1,677 "," 6,154 "," 1,909 ",,,
Steornabhagh (Stornoway),S19001851," 5,070 ", 725 ," 3,032 "," 1,313 ",,,
Stepps,S19001852," 7,450 "," 1,489 "," 4,924 "," 1,037 ",,,
Stevenston,S19001853," 9,230 "," 1,716 "," 5,769 "," 1,745 ",,,
Stewarton,S19001854," 7,420 "," 1,387 "," 4,621 "," 1,412 ",,,
Stirling,S19001855," 37,610 "," 5,579 "," 25,875 "," 6,156 ",,,
Stonehaven,S19001856," 11,170 "," 1,863 "," 7,027 "," 2,280 ",,,
Stonehouse,S19001857," 5,500 "," 1,023 "," 3,421 "," 1,056 ",,,
Stoneyburn,S19001858," 1,980 ", 373 ," 1,245 ", 362 ,,,
Stow,S19001859, 700 , 131 , 431 , 138 ,,,
Stranraer,S19001860," 10,320 "," 1,825 "," 6,067 "," 2,428 ",,,
Strathaven,S19001861," 7,350 "," 1,331 "," 4,442 "," 1,577 ",,,
Strathblane,S19001862," 1,990 ", 329 ," 1,107 ", 554 ,,,
Strathkinness,S19001863, 800 , 130 , 488 , 182 ,,,
Strathmiglo,S19001864, 910 , 138 , 566 , 206 ,,,
Strathpeffer,S19001865," 1,090 ", 178 , 670 , 242 ,,,
Strichen,S19001866," 1,020 ", 166 , 631 , 223 ,,,
Stromness,S19001867," 1,810 ", 246 ," 1,121 ", 443 ,,,
Stuartfield,S19001868, 830 , 157 , 508 , 165 ,,,
Symington (South Ayrshire),S19001869," 1,170 ", 200 , 721 , 249 ,,,
Symington (South Lanarkshire),S19001870, 750 , 133 , 444 , 173 ,,,
Tain,S19001871," 3,590 ", 712 ," 2,096 ", 782 ,,,
Tarbert,S19001872," 1,130 ", 162 , 690 , 278 ,,,
Tarbolton,S19001873," 1,900 ", 373 ," 1,147 ", 380 ,,,
Tarland,S19001874, 720 , 130 , 411 , 179 ,,,
Tarves,S19001875," 1,070 ", 203 , 674 , 193 ,,,
Tayport,S19001876," 3,810 ", 595 ," 2,429 ", 786 ,,,
Thankerton,S19001877, 510 , 88 , 327 , 95 ,,,
Thornhill (Dumfries and Galloway),S19001878," 1,660 ", 248 , 858 , 554 ,,,
Thornhill (Stirling),S19001879, 530 , 78 , 335 , 117 ,,,
Thornliebank,S19001880," 4,070 ", 767 ," 2,629 ", 674 ,,,
Thornton,S19001881," 2,020 ", 358 ," 1,283 ", 379 ,,,
Thorntonhall,S19001882, 590 , 102 , 351 , 137 ,,,
Thurso,S19001883," 7,610 "," 1,213 "," 4,709 "," 1,688 ",,,
Tighnabruaich,S19001884, 520 , 52 , 284 , 184 ,,,
Tillicoultry,S19001885," 4,650 ", 663 ," 2,858 "," 1,129 ",,,
Tobermory,S19001886," 1,010 ", 183 , 615 , 212 ,,,
Torphichen,S19001887, 710 , 146 , 426 , 138 ,,,
Torphins,S19001888," 1,410 ", 261 , 853 , 296 ,,,
Torrance,S19001889," 2,290 ", 376 ," 1,444 ", 470 ,,,
Torryburn and Newmills,S19001890," 1,020 ", 163 , 663 , 194 ,,,
Townhill,S19001891," 1,180 ", 179 , 686 , 315 ,,,
Tranent,S19001892," 12,140 "," 2,521 "," 7,670 "," 1,949 ",,,
Troon,S19001893," 14,710 "," 2,220 "," 8,596 "," 3,894 ",,,
Tullibody,S19001894," 8,580 "," 1,816 "," 5,458 "," 1,306 ",,,
Turriff,S19001895," 4,960 ", 816 ," 2,967 "," 1,177 ",,,
Twechar,S19001896," 1,220 ", 245 , 768 , 207 ,,,
Tweedbank,S19001897," 2,040 ", 365 ," 1,316 ", 359 ,,,
Uddingston,S19001898," 6,370 "," 1,043 "," 4,049 "," 1,278 ",,,
Ullapool,S19001899," 1,520 ", 257 , 959 , 304 ,,,
Uplawmoor,S19001900, 610 , 88 , 372 , 150 ,,,
Viewpark,S19001901," 15,770 "," 2,753 "," 10,336 "," 2,681 ",,,
Walkerburn,S19001902, 720 , 107 , 454 , 159 ,,,
Wallacestone,S19001903, 660 , 92 , 400 , 168 ,,,
Wallyford,S19001904," 3,260 ", 700 ," 2,073 ", 487 ,,,
Waterfoot,S19001905," 1,330 ", 267 , 810 , 253 ,,,
Wattston,S19001906, 570 , 106 , 347 , 117 ,,,
Wellbank,S19001907, 620 , 112 , 381 , 127 ,,,
Wemyss Bay,S19001908," 2,430 ", 385 ," 1,643 ", 402 ,,,
West Barns,S19001909, 640 , 136 , 409 , 95 ,,,
West Calder,S19001910," 3,130 ", 523 ," 1,909 ", 698 ,,,
West Kilbride,S19001911," 4,700 ", 786 ," 2,645 "," 1,269 ",,,
West Linton,S19001912," 1,700 ", 370 , 995 , 335 ,,,
Westhill (Aberdeenshire),S19001913," 12,290 "," 2,475 "," 8,041 "," 1,774 ",,,
Westhill (Highland),S19001914," 5,410 "," 1,022 "," 3,509 ", 879 ,,,
Westquarter,S19001915," 1,120 ", 216 , 696 , 208 ,,,
Whitburn,S19001916," 10,860 "," 2,021 "," 6,770 "," 2,069 ",,,
Whitecraig,S19001917," 1,450 ", 242 ," 1,019 ", 189 ,,,
Whitecross,S19001918, 770 , 175 , 472 , 123 ,,,
Whitehills,S19001919," 1,050 ", 186 , 602 , 262 ,,,
Whithorn,S19001920, 780 , 124 , 459 , 197 ,,,
Whiting Bay,S19001921, 620 , 83 , 301 , 236 ,,,
Wick,S19001922," 7,040 "," 1,300 "," 4,334 "," 1,406 ",,,
Wigtown,S19001923, 870 , 130 , 453 , 287 ,,,
Winchburgh,S19001924," 3,040 ", 577 ," 1,935 ", 528 ,,,
Windygates,S19001925," 1,860 ", 288 ," 1,195 ", 377 ,,,
Wishaw,S19001926," 30,290 "," 5,531 "," 19,263 "," 5,496 ",,,
Yetholm,S19001927, 600 , 75 , 312 , 213 ,,,
,,,,,,,,
© Crown Copyright 2018,,,,,,,,
