"Table 3a: Estimated population of localities by broad age groups, mid-2016",,,,,,,,
,,,,,,,,
Locality Name,Locality Code,All Ages,Age Group,,,,,
,,,Under 16,16 to 64,65 & Over,,,
Bonnyrigg,S19001354," 17,530 "," 3,475 "," 10,850 "," 3,205 ",,,
Bothwell,S19001355," 6,380 "," 1,071 "," 3,928 "," 1,381 ",,,
Bowling,S19001356, 560 , 70 , 372 , 118 ,,,
Bowmore,S19001357, 720 , 113 , 424 , 183 ,,,
Braco,S19001358, 550 , 90 , 318 , 142 ,,,
Brae,S19001359, 750 , 133 , 509 , 108 ,,,
Braidwood,S19001360, 610 , 116 , 372 , 122 ,,,
Brechin,S19001361," 7,400 "," 1,283 "," 4,513 "," 1,604 ",,,
Bridge of Allan,S19001362," 5,380 ", 718 ," 3,453 "," 1,209 ",,,
Bridge of Earn,S19001363," 2,990 ", 564 ," 1,787 ", 639 ,,,
Bridge of Weir,S19001364," 4,820 ", 920 ," 2,889 "," 1,011 ",,,
Bridgend,S19001365, 810 , 182 , 515 , 113 ,,,
Brightons,S19001366," 4,420 ", 802 ," 2,922 ", 696 ,,,
Broadford,S19001367," 1,110 ", 170 , 692 , 248 ,,,
Brodick,S19001368, 890 , 113 , 515 , 262 ,,,
Brookfield,S19001369, 540 , 81 , 311 , 148 ,,,
Brora,S19001370," 1,240 ", 197 , 690 , 353 ,,,
Broxburn,S19001371," 15,440 "," 2,927 "," 9,735 "," 2,778 ",,,
Buchlyvie,S19001372, 560 , 94 , 351 , 115 ,,,
Buckhaven,S19001373," 4,220 ", 672 ," 2,634 ", 914 ,,,
Buckie,S19001374," 8,760 "," 1,506 "," 5,293 "," 1,961 ",,,
Burghead,S19001375," 1,910 ", 304 ," 1,198 ", 408 ,,,
Burntisland,S19001376," 6,590 "," 1,241 "," 4,015 "," 1,334 ",,,
Burrelton,S19001377, 710 , 139 , 401 , 170 ,,,
Busby,S19001378," 3,250 ", 637 ," 2,011 ", 602 ,,,
Cairneyhill,S19001379," 2,400 ", 399 ," 1,535 ", 466 ,,,
